asset,date,close,net_gex_m,put_support,put_support_0dte,call_resistance,call_resistance_0dte,hvl,one_d_min,one_d_max,iv_rank,iv_0dte,iv_1m,iv_3m,skew_0dte,skew_1m,skew_3m,vrp,vrp_3m,nvrp,term_structure_slope,dex,swing_bias,source,quality_flags
VXX,2026-03-23,34.33,6.68,,,,,,,,38.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-24,35.01,6.66,,,,,,,,41.3,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-25,34.25,4.18,,,,,,,,41.9,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-26,36.62,12.33,,,,,,,,41.3,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-27,39.41,4.92,,,,,,,,48.3,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-30,39.16,4.52,,,,,,,,48.1,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-31,35.70,-1.83,,,,,,,,40.7,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-01,34.73,-2.39,,,,,,,,41.4,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-02,34.70,2.08,,,,,,,,39.4,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-06,33.88,-0.56026,,,,,,,,39.6,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-07,35.02,2.20,,,,,,,,41.1,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-08,31.66,-5.60,,,,,,,,33.4,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-09,30.39,-2.43,,,,,,,,38.4,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-10,30.77,-0.60912,,,,,,,,31.6,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-13,29.58,-1.54,,,,,,,,26.9,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-14,29.22,-0.73070,,,,,,,,35.7,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-15,29.33,1.46,,,,,,,,36.1,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-16,29.30,5.78,,,,,,,,31.9,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-17,28.98,1.01,,,,,,,,38.3,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-20,29.33,4.70,,,,,,,,29.3,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-21,29.89,6.24,,,,,,,,59.7,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-22,29.55,8.02,,,,,,,,36.4,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-23,29.50,3.52,,,,,,,,55.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-24,29.79,3.81,,,,,,,,37.9,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-27,28.89,0.44396,,,,,,,,43.1,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-04-28,28.33,-8.16,,,,,,,,32.6,,,,,,,,,,,,Bearish,quin_batch_2026-02-17_2026-04-28,
